id,email,time_zone_offset,password_hash
550e8400-e29b-41d4-a716-446655440000,user1@example.com,-5,5e884898da28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a3c
550e8400-e29b-41d4-a716-446655440001,user2@example.com,3,6b3a55e0261b0304143f805a249d6a8f8c3f8e6f8a3f6d0a1e6a2a3c5e884898
550e8400-e29b-41d4-a716-446655440002,user3@example.com,0,7c3f8e6f8a3f6d0a1e6a2a3c5e884898da28047151d0e56f8dc6292773603d0d
550e8400-e29b-41d4-a716-446655440003,user4@example.com,-2,8a3f6d0a1e6a2a3c5e884898da28047151d0e56f8dc6292773603d0d6aabbdd
550e8400-e29b-41d4-a716-446655440004,user5@example.com,7,9e6a2a3c5e884898da28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0
550e8400-e29b-41d4-a716-446655440005,user6@example.com,1,a3c5e884898da28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6
550e8400-e29b-41d4-a716-446655440006,user7@example.com,-8,b5e884898da28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a
550e8400-e29b-41d4-a716-446655440007,user8@example.com,4,c884898da28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a
550e8400-e29b-41d4-a716-446655440008,user9@example.com,-3,d898da28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a3c5
550e8400-e29b-41d4-a716-446655440009,user10@example.com,6,e8da28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a3c5e8
550e8400-e29b-41d4-a716-446655440010,user11@example.com,-1,f9da28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a3c5e8
550e8400-e29b-41d4-a716-446655440011,user12@example.com,2,0a28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a3c5e884
550e8400-e29b-41d4-a716-446655440012,user13@example.com,-6,1b28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a3c5e884
550e8400-e29b-41d4-a716-446655440013,user14@example.com,5,2c28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a3c5e884
550e8400-e29b-41d4-a716-446655440014,user15@example.com,-4,3d28047151d0e56f8dc6292773603d0d6aabbddc8a3f6d0a1e6a2a3c5e884
